x,y,z,label,family,region
0.642773879,0.631690497,0.82693933,Teiwa [twe],Timor-Alor-Pantar,Papuanesia
0.888708375,0.553124359,0.68299553,Namakir [nmk],1,Papuanesia
0.316107217,0.736793584,0.4322356,Ngarla [nlr],6,Australia
0.182953257,0.755909419,0.414340209,Mudukumo [bwm],Yuat,Papuanesia
0.393774772,0.640747274,0.617024434,Fuyuge [fuy],Trans New Guinea,Papuanesia
0.285277483,0.35875981,0.727572421,Mian [mpt],Trans New Guinea,Papuanesia
0.34236772,0.595262193,0.83259872,Sabanê [sae],Nambikwara,South America
0.822072865,0.515637627,0.610774674,Lote [uvl],1,Papuanesia
0.563412303,0.849771375,0.648831003,Makasai [mkz],Timor-Alor-Pantar,Papuanesia
0.286302336,0.724666525,0.563845522,Dakpa [dka],2,Eurasia
0.330478805,0.655695807,0.455810313,Gathang [kda],6,Australia
0.1200278,0.345998648,0.546662101,Cupeño [cup],Uto-Aztecan,North America
0.102057394,0.471498099,0.739269,Dumi [dus],2,Eurasia
0.179139891,0.712073797,0.503102673,Ghale [ghe],2,Eurasia
0.130824259,0.569514646,0.512719643,Jirel [jul],2,Eurasia
0.218977954,0.530382866,0.316717593,Hittite [hit],3,Eurasia
0.068773034,0.435151598,0.326015081,Tocharian [xxx-30],3,Eurasia
0.131828717,0.301608834,0.713868106,Sumerian [sux],Sumerian,Eurasia
0.275530982,0.517951474,0.280034529,Proto-Germanic [xxx-24],3,Eurasia
0.764042899,0.821056222,0.612391549,Nyaheun [nev],5,Eurasia
0.391847526,0.721519716,0.289769022,Lardil [lbz],Tangkic,Australia
0.398598754,0.723182714,0.291719752,Damin [xxx-7],Tangkic,Australia
0.179482203,0.674232635,0.580697359,Brokpa [sgt],2,Eurasia
0.333139505,0.651708903,0.481573797,Bugun [bgn],2,Eurasia
0.249391287,0.650682777,0.541227707,Sherdukpen [sdp],2,Eurasia
0.274643832,0.796080246,0.592637443,Puroik [suv],2,Eurasia
0.276238906,0.672487335,0.640947045,Nishi [dap],2,Eurasia
0.112251111,0.656902446,0.571106672,Kaike [kzq],2,Eurasia
0.26598585,0.810707013,0.569070293,Classical Tibetan [xct],2,Eurasia
0.564291324,0.875037045,0.414967862,Fuzhou [cdo],2,Eurasia
0.255836735,0.744247221,0.593742626,Khengkha [xkf],2,Eurasia
0.23930008,0.737913782,0.509222099,Koro [hru-2],2,Eurasia
0.228355155,0.70513893,0.556171771,Seke [skj],2,Eurasia
0.142395655,0.529073537,0.267279505,Sanskrit [san],3,Eurasia
0.188650294,0.532383714,0.252504041,Pali [pli],3,Eurasia
